trip_date,searches
4/9/15,16788
4/10/15,16532
4/11/15,25960
4/12/15,19632
4/13/15,9579
4/14/15,7902
4/15/15,8445
4/16/15,9030
4/17/15,9738
4/18/15,15159
4/19/15,13610
4/20/15,8032
4/21/15,6977
4/22/15,6721
4/23/15,6305
4/24/15,6818
4/25/15,8954
4/26/15,7050
4/27/15,5346
4/28/15,4983
4/29/15,4903
4/30/15,5207
5/1/15,5500
5/2/15,6596
5/3/15,5281
5/4/15,4350
5/5/15,4213
5/6/15,4256
5/7/15,4114
5/8/15,4377
5/9/15,5592
5/10/15,5843
5/11/15,4603
5/12/15,3984
5/13/15,3818
5/14/15,3650
5/15/15,3916
5/16/15,4620
5/17/15,3881
5/18/15,3244
5/19/15,3540
5/20/15,3150
5/21/15,2840
5/22/15,3112
5/23/15,4343
5/24/15,4070
5/25/15,3198
5/26/15,2121
5/27/15,2024
5/28/15,1855
5/29/15,2018
5/30/15,2861
5/31/15,3446
6/1/15,1799
6/2/15,1532
6/3/15,1462
6/4/15,1428
6/5/15,1571
6/6/15,2368
6/7/15,1658
6/8/15,970
6/9/15,856
6/10/15,848
6/11/15,849
6/12/15,1476
6/13/15,3185
6/14/15,3030
6/15/15,1370
6/16/15,1118
6/17/15,1298
6/18/15,1250
6/19/15,1651
6/20/15,3045
6/21/15,1991
6/22/15,1625
6/23/15,1486
6/24/15,2639
6/25/15,2017
6/26/15,2194
6/27/15,3364
6/28/15,2270
6/29/15,2109
6/30/15,2293
